Timestamp,Worker,Campaign,Language,Correct,User,The provided translation inaccurately conveys the meaning of the spoken content in the video.,The translated words are easy to understand in the new language.,The translation appropriately considers cultural nuances and sensitivities evident in the spoken content.,The provided translation accurately conveys the meaning of the spoken content in the video.,Provide specific suggestions for improving the transcriptions and translations.
19:13.8,Pearl,test_camp,Urdu,10,10,1,2,3,3,
37:37.2,Emil,test_camp,,8,8,1,1,1,1,
44:40.5,Erling,test_camp,,8,8,2,2,3,3,Better
21:31.3,Swapnil,test_camp,,10,10,1,2,3,3,
43:53.3,Jennifer,test_camp,,13,13,1,2,3,2,Better
26:50.8,Swara,test_camp,Hindi,18,0,1,2,3,3,
51:05.6,Arjun,test_camp,,9,9,1,2,1,2,
09:33.3,Sean,test_camp,Urdu,13,0,1,2,2,3,
16:28.1,abcs,test_camp,,,,2,0,0,0,Better
45:38.8,Dean,test_camp,German,11,11,1,3,2,3,
31:04.1,Hannah,test_camp,Hindi,7,7,1,2,3,4,
43:23.5,yufarooqi,test_camp,Urdu,,,1,3,2,4,Better
47:56.1,Aarav,test_camp,Hindi,16,16,1,2,3,4,
23:25.3,Bodhi,test_camp,Urdu,,,1,2,2,3,
14:44.5,Mayra,test_camp,Hindi,8,8,1,2,2,3,Better
56:11.2,Ben,test_camp,Hindi,,,1,2,3,4,
35:34.3,Niti,test_camp,German,3,3,1,1,2,2,
16:57.7,yufarooqi,test_camp,,,,2,2,2,4,Better
13:04.6,Hazel,test_camp,Urdu,13,13,1,3,3,3,
29:14.3,Emma,test_camp,,6,6,1,2,3,4,
16:12.6,Saira,test_camp,Urdu,17,17,1,2,3,1,
30:01.2,Nancy,test_camp,Urdu,18,0,1,2,1,3,
50:02.1,Opal,test_camp,German,12,0,1,2,2,2,
10:32.4,Taisa,test_camp,,15,15,1,2,3,1,Better
06:20.8,abcs,test_camp,Hindi,,,1,1,2,1,
20:23.8,Benjamin,test_camp,German,10,0,1,2,3,3,
41:46.4,Nia,test_camp,Urdu,16,5,1,2,4,3,Better
25:43.7,Joffe,test_camp,Hindi,15,15,1,1,2,2,
22:42.4,Cooper,test_camp,Urdu,16,16,1,2,3,3,
03:38.0,Sana,test_camp,,12,12,1,1,1,1,
20:24.4,yufarooqi,test_camp,,,,3,2,1,5,
34:11.5,Tamil,test_camp,Hindi,7,7,1,1,1,1,Better
34:35.2,Paul,test_camp,Urdu,19,19,1,1,1,1,
48:59.4,Reyansh,test_camp,Hindi,8,8,1,2,2,3,
24:51.2,Ella,test_camp,,,,1,3,3,4,
36:43.7,Mable,test_camp,Urdu,13,0,1,2,2,3,
24:14.5,Keanu,test_camp,German,13,13,1,2,2,2,
17:10.1,Soumi,test_camp,German,11,11,1,1,2,3,
45:57.8,yufarooqi,test_camp,German,,,1,2,3,4,Better
31:43.0,Kanrar,test_camp,Hindi,12,12,1,2,2,3,
58:43.3,Vihaan,test_camp,,9,9,1,1,1,1,
02:47.7,Nirav,test_camp,German,2,2,1,2,3,2,
46:50.4,Lila,test_camp,,6,6,1,2,2,3,
12:01.8,Neo,test_camp,,4,4,1,2,3,1,
53:58.7,Asha,test_camp,,18,18,1,1,2,2,
37:53.5,Rufus,test_camp,Urdu,13,13,1,2,2,3,
59:57.9,Faruk,test_camp,Urdu,16,16,1,2,3,4,
32:23.4,Leon,test_camp,German,4,0,1,2,3,2,Better
22:18.7,yufarooqi,test_camp,German,,,2,1,4,1,
38:50.0,Wesley,test_camp,Hindi,5,5,1,2,2,2,
40:06.5,yufarooqi,test_camp,German,,,2,1,3,3,
28:43.2,Sam,test_camp,,13,13,1,2,3,4,
30:14.3,yufarooqi,test_camp,Urdu,,,3,1,1,2,
53:15.9,rasaxena,test_camp,Urdu,,,1,3,3,4,
32:55.5,Srinivas,test_camp,Urdu,6,6,1,2,2,3,
38:39.6,yufarooqi,test_camp,Urdu,,,1,3,2,3,
44:28.4,yufarooqi,test_camp,Hindi,,,1,3,3,4,Better
