Timestamp,Worker,Campaign,The transcription is well-synced with the actual spoken content in the video.,The provided transcription accurately reflects the spoken content in the video,The language in the transcription is not consistent with the spoken content.,The transcription is riddled with spelling and grammar errors in comparison to the spoken content.,The terminology and language in the transcription are consistent with the spoken content.,The transcription fails to capture linguistic nuances and expressions in spoken content.,The transcription is poorly synced with the actual spoken content in the video.
2024-01-28 18:26:37.620401,Swara,test_camp,1,1,3,4,1,4,4
2024-01-28 18:11:13.496035,Kubra,test_camp,1,2,3,4,1,4,5
2024-01-28 17:48:41.249159,Reyansh,test_camp,1,2,3,4,4,5,4
2024-01-28 17:05:56.615832,abcs,test_camp,0,0,0,0,0,0,0
2024-01-28 18:10:14.956049,Taisa,test_camp,1,2,1,2,1,2,1
2024-01-28 16:55:54.269703,Ben,test_camp,1,2,3,4,4,4,4
2024-01-28 18:38:33.698490,Wesley,test_camp,1,1,3,3,1,3,4
2024-01-28 18:21:21.397131,Swapnil,test_camp,1,1,3,4,1,4,4
2024-01-28 18:36:16.865917,Mable,test_camp,1,1,3,3,1,4,4
2024-01-28 16:44:08.654847,yufarooqi,test_camp,1,2,3,4,4,3,5
2024-01-28 18:31:19.542036,Kanrar,test_camp,1,2,4,4,1,4,5
2024-01-28 16:36:39.669992,yufarooqi,test_camp,2,1,3,4,1,4,4
2024-01-28 18:44:24.073742,Erling,test_camp,1,2,3,3,1,4,4
2024-01-28 16:45:39.859234,yufarooqi,test_camp,1,2,4,3,3,4,4
2024-01-28 17:24:35.774343,Ella,test_camp,1,2,4,2,3,4,5
2024-01-28 18:23:48.908707,Keanu,test_camp,1,3,4,4,2,4,4
2024-01-28 18:12:48.768771,Hazel,test_camp,1,1,2,2,3,1,3
2024-01-28 17:20:30.873779,Bodhi,test_camp,1,2,4,4,2,4,4
2024-01-28 17:37:23.391330,Emil,test_camp,1,1,1,1,1,1,1
2024-01-28 17:15:31.765261,abcs,test_camp,1,0,0,0,0,0,0
2024-01-28 18:16:49.354688,Soumi,test_camp,1,2,3,4,2,4,4
2024-01-28 16:28:49.298656,yufarooqi,test_camp,2,1,4,3,1,5,4
2024-01-28 17:45:18.628002,Dean,test_camp,1,2,3,4,4,4,5
2024-01-28 17:28:54.924915,Emma,test_camp,1,2,3,4,4,3,5
2024-01-28 18:22:25.003998,Cooper,test_camp,1,1,3,3,4,4,5
2024-01-28 18:03:27.346444,Sana,test_camp,1,1,1,1,1,1,1
2024-01-28 18:14:24.950922,Mayra,test_camp,1,1,4,4,2,4,4
2024-01-28 15:19:58.713995,yufarooqi,test_camp,2,1,4,4,1,4,5
2024-01-28 18:27:46.212763,Gibson,test_camp,1,1,4,4,1,3,3
2024-01-28 17:30:48.375982,Hannah,test_camp,1,2,3,4,4,4,5
2024-01-28 18:25:21.191016,Joffe,test_camp,1,1,4,4,1,4,4
2024-01-28 16:43:01.448351,yufarooqi,test_camp,1,2,3,4,2,4,4
2024-01-28 17:16:15.325665,abcs,test_camp,1,0,0,0,0,0,0
2024-01-28 16:41:57.149489,yufarooqi,test_camp,1,2,3,4,3,4,4
2024-01-28 18:32:34.852629,Srinivas,test_camp,1,1,4,4,1,4,5
2024-01-28 16:39:38.453747,yufarooqi,test_camp,1,2,3,3,2,4,4
2024-01-28 18:33:50.179669,Tamil,test_camp,1,1,1,1,1,1,1
2024-01-28 18:19:59.112624,Benjamin,test_camp,1,2,3,4,2,4,4
2024-01-28 15:22:02.919685,yufarooqi,test_camp,5,4,2,1,4,1,5
2024-01-28 17:43:35.514604,Jennifer,test_camp,1,2,4,4,4,4,5
2024-01-28 16:57:16.337531,Elias,test_camp,1,2,3,4,3,4,5
2024-01-28 18:35:11.659069,Niti,test_camp,1,1,4,4,1,4,5
2024-01-28 17:59:33.265415,Faruk,test_camp,1,1,3,4,2,4,4
2024-01-28 18:18:49.950891,Pearl,test_camp,1,2,4,3,2,3,4
2024-01-28 18:11:49.706775,Neo,test_camp,1,2,1,0,2,1,3
2024-01-28 15:16:24.402153,yufarooqi,test_camp,2,1,4,5,1,4,5
2024-01-28 18:02:32.578312,Nirav,test_camp,1,2,4,4,1,4,5
2024-01-28 17:34:16.423030,Paul,test_camp,1,3,1,2,1,1,1
2024-01-28 17:25:53.218161,Emma,test_camp,1,2,3,4,4,3,5
2024-01-28 16:52:56.791281,rasaxena,test_camp,1,2,3,4,4,3,4
2024-01-28 18:28:30.820245,Sam,test_camp,1,1,4,4,2,4,5
2024-01-28 15:12:27.271830,yufarooqi,test_camp,1,1,4,4,1,4,4
2024-01-28 17:41:20.546416,Nia,test_camp,1,2,3,3,2,4,5
2024-01-28 17:46:40.587463,Lila,test_camp,1,2,3,4,4,3,4
2024-01-28 18:15:47.501043,Saira,test_camp,1,2,4,4,2,4,5
2024-01-28 17:50:54.393529,Arjun,test_camp,1,2,4,4,4,4,5
2024-01-28 18:08:52.926706,Sean,test_camp,1,2,3,4,2,4,4
2024-01-28 17:49:43.495764,Opal,test_camp,1,2,3,4,4,4,5
2024-01-28 17:47:32.807143,Aarav,test_camp,1,2,3,4,4,4,5
2024-01-28 17:32:03.219837,Leon,test_camp,1,2,3,4,4,4,5
2024-01-28 17:53:37.287720,Asha,test_camp,1,1,4,4,1,4,5
2024-01-28 17:58:22.707923,Vihaan,test_camp,1,2,3,3,4,4,4
2024-01-28 18:37:36.885636,Rufus,test_camp,1,1,3,3,1,3,4
2024-01-28 18:29:45.235060,Nancy,test_camp,1,2,4,4,1,4,5
